tag,month,day,place,latitude,longitude,date
서울 확진자,8,22,코로나19 광진구보건소 선별진료소,37.53854422826241,127.08190995329798,8/22
서울 확진자,8,22,코로나19 건국대학교병원 선별진료소,37.5411995679504,127.07209467698199,8/22
서울 확진자,8,22,푸른초장교회 (8/16~8/22),37.5323785340303,127.080817080662,8/22
서울 확진자,8,22,코로나19 은평구보건소 선별진료소,37.602456970227585,126.928823550033,8/22
서울 확진자,8,24,"서울후암초등학교 (8/19, 8/20, 8/21, 8/24)",37.55128982515901,126.98237309690799,8/24
서울 확진자,8,22,"은혜옷수전 (8/17, 8/19, 8/20, 8/21, 8/22)",37.512365806124826,127.11699691782697,8/22
서울 확진자,8,22,바나프레소 미아사거리역점,37.6131424758447,127.02944779100999,8/22
서울 확진자,8,22,푸른초장교회,37.532371329125006,127.080812547349,8/22
서울 확진자,8,25,삼육서울병원 선별진료소,37.587990429594605,127.065329444279,8/25
서울 확진자,8,24,광진구보건소 선별진료소,37.53854422826241,127.08190995329798,8/24
서울 확진자,8,24,강북삼성병원 선별진료소,37.56850663657661,126.96792107169,8/24
서울 확진자,8,26,마포구보건소 선별진료소,37.56694932271091,126.90185909738,8/26
서울 확진자,8,26,동대문구보건소 선별진료소,37.5746993851423,127.040223107039,8/26
서울 확진자,8,26,우리은행 수유동금융센터,37.6396032722373,127.026861375575,8/26
서울 확진자,8,16,더빈마켓 중곡점,37.55601534446306,127.08340939096956,8/16
서울 확진자,8,16,버거킹 군자능동점,37.552170930834414,127.07654710284775,8/16
서울 확진자,8,26,일산동구보건소 선별진료소,37.655694553150205,126.776159934729,8/26
